Category,Description,Assigned_Team
Software,post - maintenance report : patch conflict observe,Application Support
Hardware,multiple user affect overheat device priority raise,Desktop Support
Security,system flag suspicious dns poisoning diagnostic initiate,Security Team
Software,multiple user affect configuration file miss priority raise,Application Support
Network,post - maintenance report : cloud service unreachable observe,Network Team
Security,user unable proceed due expose database,Security Team
Software,help desk receive complaint session timeout review,Application Support
Network,incident log : network default gateway miss await assignment,Network Team
Hardware,break hinge impact business operation,Desktop Support
Hardware,recur laptop screen backlight failure report week,Desktop Support
Software,browser crashing issue escalate department head,Application Support
Hardware,projector bulb failure detect workstation team dispatch,Desktop Support
Network,automate alert trigger network asymmetric routing,Network Team
Security,multiple user affect suspicious api token use priority raise,Security Team
Network,incident log : switch port await assignment,Network Team
Software,user submit ticket application crash service call via self - service portal,Application Support
Network,remote user experience network collision detect vpn session active,Network Team
Software,system flag application registry corruption diagnostic initiate,Application Support
Software,on - site technician assign application configuration mismatch,Application Support
Software,spreadsheet formula error impact business operation,Application Support
Network,third - party vendor notify network vlan misconfigure,Network Team
Network,multiple user affect network alert storm priority raise,Network Team
Hardware,laptop screen green tint detect workstation team dispatch,Desktop Support
Hardware,graphic card overheat issue escalate department head,Desktop Support
Software,post - maintenance report : plugin loading observe,Application Support
Access,department manager flag access role mismatch critical,Desktop Support
Security,user submit ticket malware alert via self - service portal,Security Team
Hardware,laptop screen green tint confirm system scan,Desktop Support
Access,automate alert trigger access deny partner policy,Desktop Support
Software,incident log : application deadlock await assignment,Application Support
Access,incident log : privileged access misuse await assignment,Desktop Support
Hardware,scanner calibration issue impact business operation,Desktop Support
Hardware,on - site technician assign laptop screen driver miss,Desktop Support
Network,ticket raise rout loop team notify,Network Team
Security,automate alert trigger malware alert,Security Team
Software,on - site technician assign application crash install,Application Support
Hardware,on - site technician assign laptop screen purple tint,Desktop Support
Security,department manager flag suspicious schedule task critical,Security Team
Access,multiple user affect account lockout priority raise,Desktop Support
Hardware,webcam malfunction detect workstation team dispatch,Desktop Support
Security,user unable proceed due unauthorized usb access,Security Team
Network,ticket raise network unauthorized access team notify,Network Team
Hardware,post - maintenance report : laptop will not power observe,Desktop Support
Network,incident log : network mtu mismatch await assignment,Network Team
Software,incident log : application crash uninstall await assignment,Application Support
Access,recur access deny system error report week,Desktop Support
Network,network dual - stack error impact business operation,Network Team
Hardware,projector bulb failure impact business operation,Desktop Support
Access,remote user experience access deny firewall vpn session active,Desktop Support
Software,application crash vm snapshot impact business operation,Application Support
Hardware,ram failure impact business operation,Desktop Support
Security,incident log : suspicious dll injection await assignment,Security Team
Hardware,laptop screen red tint impact business operation,Desktop Support
Network,recur network ntp server unreachable report week,Network Team
Software,user submit ticket application crash dashboard via self - service portal,Application Support
Security,post - maintenance report : suspicious dns hijack observe,Security Team
Access,sla breach risk due remote desktop login failure escalate,Desktop Support
Access,remote user experience access deny endpoint policy vpn session active,Desktop Support
Software,third - party vendor notify application crash visualization,Application Support
Network,help desk receive complaint network split horizon error review,Network Team
Network,system flag proxy authentication error diagnostic initiate,Network Team
Hardware,user submit ticket laptop trackpad jitter via self - service portal,Desktop Support
Network,automate alert trigger network driver outdate,Network Team
Hardware,incident log : laptop screen vertical line await assignment,Desktop Support
Access,user unable proceed due vpn login deny,Desktop Support
Security,sla breach risk due suspicious sox violation escalate,Security Team
Network,incident log : network compliance violation await assignment,Network Team
Software,recur application crash service call report week,Application Support
Software,department manager flag application crash save critical,Application Support
Security,department manager flag suspicious api token use critical,Security Team
Access,multiple user affect inactive account priority raise,Desktop Support
Security,suspicious activity detect impact business operation,Security Team
Software,user submit ticket browser crash via self - service portal,Application Support
Security,on - site technician assign suspicious dns hijack,Security Team
Access,post - maintenance report : single sign - on error observe,Desktop Support
Software,incident log : software installation fail await assignment,Application Support
Network,department manager flag vpn certificate expire critical,Network Team
Access,post - maintenance report : access deny application observe,Desktop Support
Network,network ipsec tunnel failure issue escalate department head,Network Team
Software,automate alert trigger application crash api call,Application Support
Network,sla breach risk due switch port failure escalate,Network Team
Hardware,remote user experience speaker / audio failure vpn session active,Desktop Support
Access,incident log : single sign - on error await assignment,Desktop Support
Network,automate alert trigger wi - fi connectivity issue,Network Team
Security,help desk receive complaint suspicious process execution review,Security Team
Network,system flag load balancer misconfigured diagnostic initiate,Network Team
Security,user unable proceed due data exfiltration attempt,Security Team
Access,remote user experience access deny gdpr policy vpn session active,Desktop Support
Network,network bridge failure issue escalate department head,Network Team
Security,suspicious pci violation confirm system scan,Security Team
Hardware,department manager flag keyboard respond critical,Desktop Support
Network,sla breach risk due dhcp failure escalate,Network Team
Hardware,ticket raise laptop screen black screen team notify,Desktop Support
Access,incident log : vpn access issue await assignment,Desktop Support
Security,cloud misconfiguration confirm system scan,Security Team
Software,incident log : application crash visualization await assignment,Application Support
Network,multiple user affect network misroute traffic priority raise,Network Team
Network,multiple user affect broadcast storm priority raise,Network Team
Hardware,third - party vendor notify laptop bio corrupt,Desktop Support
Software,ticket raise application crash load team notify,Application Support
Security,suspicious c2 server detect confirm system scan,Security Team
Network,ticket raise access point team notify,Network Team
Hardware,incident log : laptop screen grayscale issue await assignment,Desktop Support
Hardware,multiple user affect desktop will not boot priority raise,Desktop Support
Security,department manager flag email spoof detect critical,Security Team
Network,sla breach risk due unstable wireless connection escalate,Network Team
Software,multiple user affect memory leak detect priority raise,Application Support
Software,user unable proceed due application crash import,Application Support
Software,automate alert trigger script runtime error,Application Support
Software,application crash api call impact business operation,Application Support
Hardware,user submit ticket laptop screen brightness issue via self - service portal,Desktop Support
Software,system flag application crash query diagnostic initiate,Application Support
Network,automate alert trigger network ipv6 misconfigured,Network Team
Hardware,remote user experience webcam malfunction vpn session active,Desktop Support
Network,third - party vendor notify network cable damage,Network Team
Security,post - maintenance report : malware detect observe,Security Team
Access,post - maintenance report : access deny password policy observe,Desktop Support
Hardware,system flag laptop screen crack diagnostic initiate,Desktop Support
Security,security patch miss confirm system scan,Security Team
Software,ticket raise application crash framework team notify,Application Support
Software,recur update rollback issue report week,Application Support
Hardware,monitor flickering detect workstation team dispatch,Desktop Support
Network,user unable proceed due network duplex mismatch,Network Team
Security,recur suspicious memory dump report week,Security Team
Hardware,headset mic working impact business operation,Desktop Support
Security,on - site technician assign suspicious iso violation,Security Team
Network,help desk receive complaint proxy server misconfiguration review,Network Team
Hardware,user submit ticket laptop screen backlight failure via self - service portal,Desktop Support
Hardware,recur webcam malfunction report week,Desktop Support
Network,recur ip conflict report week,Network Team
Security,suspicious arp spoof impact business operation,Security Team
Access,user submit ticket access deny router via self - service portal,Desktop Support
Access,incident log : access deny casb policy awaiting assignment,Desktop Support
Access,on - site technician assign access deny casb policy,Desktop Support
Software,operating system error detect workstation team dispatch,Application Support
Software,user submit ticket software dependency miss via self - service portal,Application Support
Software,application crash detect workstation team dispatch,Application Support
Hardware,system flag external gpu detect diagnostic initiate,Desktop Support
Access,system flag access deny partner policy diagnostic initiate,Desktop Support
Hardware,post - maintenance report : external ssd overheat observe,Desktop Support
Software,compiler error impact business operation,Application Support
Hardware,remote user experience laptop screen refresh rate issue vpn session active,Desktop Support
Network,automate alert trigger weak signal strength,Network Team
Network,weak signal strength confirm system scan,Network Team
Hardware,user submit ticket mouse issue via self - service portal,Desktop Support
Network,third - party vendor notify dhcp server unresponsive,Network Team
Hardware,loose cable connection impact business operation,Desktop Support
Network,recur proxy misconfiguration report week,Network Team
Software,mobile app instal confirm system scan,Application Support
Software,user submit ticket application crash connect via self - service portal,Application Support
Access,user access deny detect workstation team dispatch,Desktop Support
Software,help desk receive complaint memory leak detect review,Application Support
Software,incident log : container deployment error await assignment,Application Support
Access,system flag certificate login failure diagnostic initiate,Desktop Support
Network,system flag router reboot require diagnostic initiate,Network Team
Security,third - party vendor notify suspicious cookie theft,Security Team
Security,system flag suspicious process execution diagnostic initiate,Security Team
Hardware,department manager flag laptop gpu detect critical,Desktop Support
Security,malicious macro detect impact business operation,Security Team
Software,on - site technician assign driver conflict,Application Support
Software,system flag application crash container start diagnostic initiate,Application Support
Software,multiple user affect application crash debug priority raise,Application Support
Network,user submit ticket network ssl vpn failure via self - service portal,Network Team
Software,automate alert trigger application crash deploy,Application Support
Security,help desk receive complaint suspicious siem alert review,Security Team
Software,help desk receive complaint macro execution error review,Application Support
Hardware,on - site technician assign tablet screen crack,Desktop Support
Access,access deny vpn policy detect workstation team dispatch,Desktop Support
Access,remote desktop login failure confirm system scan,Desktop Support
Access,recur unauthorized login attempt report week,Desktop Support
Hardware,hardware driver miss impact business operation,Desktop Support
Security,ticket raise keylogger detect team notify,Security Team
Hardware,ticket raise mouse issue team notify,Desktop Support
Hardware,laptop microphone working issue escalate department head,Desktop Support
Hardware,sla breach risk due laptop screen red tint escalate,Desktop Support
Software,application crash exit issue escalate department head,Application Support
Access,user unable proceed due access deny dlp policy,Desktop Support
Security,recur compromise credential report week,Security Team
Network,remote user experiencing bandwidth exceed vpn session active,Network Team
Hardware,laptop screen dim impact business operation,Desktop Support
Software,sla breach risk due update rollback issue escalate,Application Support
Software,automate alert trigger application memory overflow,Application Support
Network,network collision detect confirm system scan,Network Team
Software,user unable proceed due patch update fail,Application Support
Hardware,help desk receive complaint keyboard key stick review,Desktop Support
Software,user unable proceed due application crash container start,Application Support
Network,recur cloud service unreachable report week,Network Team
Software,incident log : operate system error await assignment,Application Support
Hardware,user unable proceed due laptop screen resolution error,Desktop Support
Security,trojan detect issue escalate department head,Security Team
Security,ticket raise zero - day exploit detect team notify,Security Team
Software,session timeout impact business operation,Application Support
Access,access deny maintenance window issue escalate department head,Desktop Support
Hardware,sla breach risk due laptop screen refresh rate issue escalate,Desktop Support
Software,department manager flag application crash dashboard critical,Application Support
Network,recur network blackhole rout report week,Network Team
Software,post - maintenance report : application crash build observe,Application Support
Hardware,automate alert trigger laptop touch screen working,Desktop Support
Network,on - site technician assign network firewall overload,Network Team
Network,sla breach risk due router firmware outdate escalate,Network Team
Software,help desk receive complaint app freezing review,Application Support
Access,remote user experience access deny api vpn session active,Desktop Support
Hardware,multiple user affect laptop casing crack priority raise,Desktop Support
Network,user submit ticket network collision detect via self - service portal,Network Team
Hardware,help desk receive complaint tablet screen crack review,Desktop Support
Access,automate alert trigger access deny database,Desktop Support
Software,post - maintenance report : ui responsive observe,Application Support
Hardware,sla breach risk due laptop screen brightness issue escalate,Desktop Support
Network,department manager flag network unauthorized device detect critical,Network Team
Access,multiple user affect access deny geolocation policy priority raise,Desktop Support
Software,spreadsheet formula error detect workstation team dispatch,Application Support
Access,access deny gdpr policy detect workstation team dispatch,Desktop Support
Hardware,sla breach risk due printer ink cartridge error escalate,Desktop Support
Hardware,system flag keyboard key stick diagnostic initiate,Desktop Support
Access,third - party vendor notify privileged access misuse,Desktop Support
Software,automate alert trigger application crash build,Application Support
Software,third - party vendor notify application crash update,Application Support
Network,user submit ticket network hub failure via self - service portal,Network Team
Network,network packet sniffing detect detect workstation team dispatch,Network Team
Security,recur keylogger detect report week,Security Team
Hardware,recur printer issue report week,Desktop Support
Hardware,remote user experience laptop screen hinge break vpn session active,Desktop Support
Software,post - maintenance report : application crash vm snapshot observe,Application Support
Hardware,user submit ticket overheat cpu via self - service portal,Desktop Support
Security,third - party vendor notify certificate spoof,Security Team
Software,user unable proceed due application crash module,Application Support
Hardware,automate alert trigger keyboard respond,Desktop Support
Security,security patch miss detect workstation team dispatch,Security Team
Security,suspicious admin activity confirm system scan,Security Team
Hardware,incident log : monitor dead pixel await assignment,Desktop Support
Network,department manager flag network jitter critical,Network Team
Network,help desk receive complaint network collision detect review,Network Team
Access,access deny certificate policy detect workstation team dispatch,Desktop Support
Software,user submit ticket application crash install via self - service portal,Application Support
Network,multiple user affect network jitter priority raise,Network Team
Hardware,user submit ticket laptop screen pink tint via self - service portal,Desktop Support
Hardware,user unable proceed due laptop keyboard backlight failure,Desktop Support
Access,department manager flag access audit failure critical,Desktop Support
Software,on - site technician assign license expire,Application Support
Network,sla breach risk due network monitor tool failure escalate,Network Team
Access,user submit ticket account disabled policy via self - service portal,Desktop Support
Access,sla breach risk due access policy violation escalate,Desktop Support
Access,role - base access error detect workstation team dispatch,Desktop Support
Security,department manager flag malware detect critical,Security Team
Hardware,system flag laptop screen ghost diagnostic initiate,Desktop Support
Hardware,help desk receive complaint laptop screen freeze image review,Desktop Support
Software,unrecognized file type impact business operation,Application Support
Access,incident log : access deny os policy await assignment,Desktop Support
Hardware,help desk receive complaint laptop screen ghost image review,Desktop Support
Security,suspicious policy violation confirm system scan,Security Team
Hardware,third - party vendor notify laptop screen dead pixel,Desktop Support
Security,post - maintenance report : brute force attack observe,Security Team
Network,help desk receive complaint network ip address error review,Network Team
Access,user submit ticket access deny casb policy via self - service portal,Desktop Support
Security,user submit ticket suspicious beacon traffic via self - service portal,Security Team
Software,recur application crash load report week,Application Support
Security,recur suspicious driver installation report week,Security Team
Network,network default gateway miss detect workstation team dispatch,Network Team
Hardware,laptop keyboard backlight failure issue escalate department head,Desktop Support
Network,department manager flag network duplex mismatch critical,Network Team
Network,user submit ticket network repeater failure via self - service portal,Network Team
Software,configuration file miss issue escalate department head,Application Support
Hardware,system flag battery drain fast diagnostic initiate,Desktop Support
Security,third - party vendor notify suspicious memory dump,Security Team
Software,user unable proceed due driver conflict,Application Support
Access,automate alert trigger temporary password expire,Desktop Support
Software,slow application performance impact business operation,Application Support
Security,third - party vendor notify suspicious c2 server detect,Security Team
Network,user submit ticket network eigrp misconfigure via self - service portal,Network Team
Network,network ips alert impact business operation,Network Team
Software,user submit ticket application crash cloud sync via self - service portal,Application Support
Network,department manager flag cloud service unreachable critical,Network Team
Security,on - site technician assign suspicious third - party compromise,Security Team
Security,suspicious vendor compromise impact business operation,Security Team
Security,recur suspicious network scan report week,Security Team
Network,department manager flag network id alert critical,Network Team
Network,incident log : network cable damage await assignment,Network Team
Security,post - maintenance report : suspicious cis violation observe,Security Team
Access,badge / physical access deny impact business operation,Desktop Support
Hardware,post - maintenance report : laptop screen vertical line observe,Desktop Support
Software,department manager flag application crash vm boot critical,Application Support
Access,ticket raise access right revoke team notify,Desktop Support
Network,system flag broadcast storm diagnostic initiate,Network Team
Access,share folder accessible detect workstation team dispatch,Desktop Support
Software,ticket raise application crash exit team notify,Application Support
Software,application crash automation detect workstation team dispatch,Application Support
Security,user unable proceed due suspicious saas login,Security Team
Hardware,incident log : laptop screen pink tint awaiting assignment,Desktop Support
Network,switch port failure issue escalate department head,Network Team
Network,vpn connection failure impact business operation,Network Team
Network,help desk receive complaint network dual - stack error review,Network Team
Software,system flag file format support diagnostic initiate,Application Support
Hardware,department manager flag laptop screen yellow tint critical,Desktop Support
Security,endpoint compliant detect workstation team dispatch,Security Team
Access,ticket raise kerberos ticket expire team notify,Desktop Support
Hardware,incident log : docking station recognize await assignment,Desktop Support
Hardware,department manager flag laptop screen dead pixel critical,Desktop Support
Software,application crash install issue escalate department head,Application Support
Security,recur phishing attempt report report week,Security Team
Hardware,system flag ram failure diagnostic initiate,Desktop Support
Network,multiple user affect arp conflict priority raise,Network Team
Network,post - maintenance report : network arp poisoning observe,Network Team
Software,user unable proceed due application crash vm shutdown,Application Support
Access,help desk receive complaint access deny regulatory policy review,Desktop Support
Hardware,webcam recognize impact business operation,Desktop Support
Hardware,department manager flag laptop screen connector failure critical,Desktop Support
Hardware,user unable proceed due desktop will not boot,Desktop Support
Network,network compliance violation impact business operation,Network Team
Software,automate alert trigger software timeout,Application Support
Access,incident log : access deny proxy await assignment,Desktop Support
Hardware,third - party vendor notify loose cable connection,Desktop Support
Access,ticket raise access deny firewall team notify,Desktop Support
Hardware,department manager flag keyboard key stick critical,Desktop Support
Software,remote user experience application crash library vpn session active,Application Support
Security,suspicious dll injection impact business operation,Security Team
Security,suspicious schedule task detect workstation team dispatch,Security Team
Network,help desk receive complaint access point misconfigured review,Network Team
Network,automate alert trigger bgp misconfiguration,Network Team
Security,sla breach risk due suspicious privilege misuse escalate,Security Team
Network,network ntp server unreachable detect workstation team dispatch,Network Team
Hardware,help desk receive complaint laptop screen white screen review,Desktop Support
Network,sla breach risk due duplicate ip detect escalate,Network Team
Security,suspicious third - party compromise detect workstation team dispatch,Security Team
Access,user unable proceed due share drive permission issue,Desktop Support
Access,third - party vendor notify access deny cis policy,Desktop Support
Software,sla breach risk due application crash connect escalate,Application Support
Security,remote user experience rootkit find vpn session active,Security Team
Software,user submit ticket ui responsive via self - service portal,Application Support
Software,user unable proceed due service start,Application Support
Hardware,multiple user affect laptop trackpad jitter priority raise,Desktop Support
Security,remote user experience phishe email detect vpn session active,Security Team
Software,sla breach risk due slow application performance escalate,Application Support
Access,access deny iam policy confirm system scan,Desktop Support
Access,automate alert trigger admin right request,Desktop Support
Access,multiple user affect shared folder accessible priority raise,Desktop Support
Access,post - maintenance report : access deny vpn policy observe,Desktop Support
Hardware,department manager flag laptop screen red tint critical,Desktop Support
Software,third - party vendor notify licensing issue,Application Support
Network,help desk receive complaint port block review,Network Team
Security,user submit ticket suspicious policy violation via self - service portal,Security Team
Hardware,multiple user affect laptop screen burn - in priority raise,Desktop Support
Network,user submit ticket network ntp server unreachable via self - service portal,Network Team
Network,recur network driver outdate report week,Network Team
Software,on - site technician assign licensing issue,Application Support
Hardware,printer paper jam issue escalate department head,Desktop Support
Hardware,laptop screen grayscale issue detect workstation team dispatch,Desktop Support
Access,access deny endpoint policy impact business operation,Desktop Support
Access,ticket raise access deny soc policy team notify,Desktop Support
Software,sla breach risk due macro execution error escalate,Application Support
Access,user submit ticket access token misconfigured via self - service portal,Desktop Support
Hardware,post - maintenance report : usb hub recognize observe,Desktop Support
Software,ticket raise application crash uninstall team notify,Application Support
Network,third - party vendor notify network ssl vpn failure,Network Team
Hardware,on - site technician assign external hdd mount,Desktop Support
Hardware,headset mic working detect workstation team dispatch,Desktop Support
Access,recur share folder accessible report week,Desktop Support
Software,department manager flag spreadsheet formula error critical,Application Support
Software,incident log : application crash await assignment,Application Support
Software,file corruption detect workstation team dispatch,Application Support
Hardware,remote user experience laptop screen yellow tint vpn session active,Desktop Support
Security,department manager flag suspicious packet injection critical,Security Team
Access,on - site technician assign login issue,Desktop Support
Software,application crash container start issue escalate department head,Application Support
Hardware,on - site technician assign laptop screen yellow tint,Desktop Support
Network,help desk receive complaint network speed slow review,Network Team
Access,privilege escalation block issue escalate department head,Desktop Support
Network,ticket raise cable unplug team notify,Network Team
Network,post - maintenance report : network segmentation error observe,Network Team
Hardware,multiple user affect laptop screen invert color priority raise,Desktop Support
Network,router reboot require confirm system scan,Network Team
Security,third - party vendor notify suspicious ot device alert,Security Team
Security,certificate expire impact business operation,Security Team
Software,sla breach risk due patch conflict escalate,Application Support
Hardware,sla breach risk due hardware driver miss escalate,Desktop Support
Access,department manager flag access deny nist policy critical,Desktop Support
Software,user unable proceed due application respond,Application Support
Hardware,headset mic working confirm system scan,Desktop Support
Software,multiple user affect software installation fail priority raise,Application Support
Network,sla breach risk due network misroute traffic escalate,Network Team
Security,system flagged phishing email detect diagnostic initiate,Security Team
Software,on - site technician assign application crash container start,Application Support
Software,unrecognized file type issue escalate department head,Application Support
Hardware,peripheral compatibility issue confirm system scan,Desktop Support
Security,sla breach risk due data exfiltration attempt escalate,Security Team
Software,authentication error impact business operation,Application Support
Access,access deny system error confirm system scan,Desktop Support
Access,system flag account lockout diagnostic initiate,Desktop Support
Security,user submit ticket endpoint compliant via self - service portal,Security Team
Hardware,laptop cmos battery failure confirm system scan,Desktop Support
Security,suspicious dns poisoning detect workstation team dispatch,Security Team
Hardware,user submit ticket hard drive crash via self - service portal,Desktop Support
Access,remote user experience access deny iam policy vpn session active,Desktop Support
Software,patch update fail impact business operation,Application Support
Security,on - site technician assign weak password detect,Security Team
Software,incident log : license expire await assignment,Application Support
Network,incident log : network repeater failure await assignment,Network Team
Access,recur pin reset require report week,Desktop Support
Access,on - site technician assign access deny password policy,Desktop Support
Hardware,post - maintenance report : hardware driver miss observe,Desktop Support
Network,ticket raise weak signal strength team notify,Network Team
Security,user unable proceed due suspicious partner compromise,Security Team
Access,automate alert trigger ldap authentication fail,Desktop Support
Hardware,laptop screen blue tint issue escalate department head,Desktop Support
Hardware,dock station issue issue escalate department head,Desktop Support
Access,vpn access issue issue escalate department head,Desktop Support
Access,department manager flag access deny outage critical,Desktop Support
Network,multiple user affect cloud service unreachable priority raise,Network Team
Hardware,help desk receive complaint printer issue review,Desktop Support
Access,post - maintenance report : access right revoke observe,Desktop Support
Software,application crash vm shutdown detect workstation team dispatch,Application Support
Access,ticket raise temporary access request team notify,Desktop Support
Security,ticket raise rootkit find team notify,Security Team
Hardware,recur laptop screen purple tint report week,Desktop Support
Network,incident log : network dhcp server await assignment,Network Team
Network,firewall block access detect workstation team dispatch,Network Team
Network,remote user experience load balancer misconfigure vpn session active,Network Team
Security,post - maintenance report : suspicious gdpr violation observe,Security Team
Network,ssid visible issue escalate department head,Network Team
Software,incident log : api timeout await assignment,Application Support
Access,access deny vendor policy impact business operation,Desktop Support
Network,recur network syslog server report week,Network Team
Security,incident log : suspicious traffic tunneling await assignment,Security Team
Security,remote user experience cross - site scripting detect vpn session active,Security Team
Security,recur phishe website block report week,Security Team
Access,user unable proceed due access policy violation,Desktop Support
Network,network firewall overload confirm system scan,Network Team
Hardware,incident log : power supply failure await assignment,Desktop Support
Network,dhcp failure issue escalate department head,Network Team
Software,automate alert trigger application crash exit,Application Support
Software,software installation fail confirm system scan,Application Support
Security,remote user experience suspicious packet injection vpn session active,Security Team
Network,ticket raise network mpls misconfigure team notify,Network Team
Network,automate alert trigger network subnet mask error,Network Team
Access,ticket raise access deny gateway team notify,Desktop Support
Access,on - site technician assign access deny token policy,Desktop Support
Network,on - site technician assign gateway timeout,Network Team
Network,remote user experience switch port vpn session active,Network Team
Software,user unable proceed due application configuration mismatch,Application Support
Access,post - maintenance report : kerberos ticket expired observe,Desktop Support
Network,third - party vendor notify network hub failure,Network Team
Hardware,sla breach risk due laptop screen grayscale issue escalate,Desktop Support
Access,user submit ticket access deny application via self - service portal,Desktop Support
Access,automate alert trigger access deny router,Desktop Support
Security,remote user experience suspicious cloud login vpn session active,Security Team
Hardware,multiple user affect keyboard key stick priority raise,Desktop Support
Software,incident log : report generation failure await assignment,Application Support
Software,application license expire confirm system scan,Application Support
Access,third - party vendor notify access deny contractor policy,Desktop Support
Software,help desk receive complaint application crash script review,Application Support
Access,third - party vendor notify access deny geolocation policy,Desktop Support
Software,help desk receive complaint application crash cloud sync review,Application Support
Security,post - maintenance report : ransomware alert observe,Security Team
Software,third - party vendor notify application crash vm deployment,Application Support
Network,network jitter issue escalate department head,Network Team
Access,access deny certificate policy issue escalate department head,Desktop Support
Hardware,cd / dvd drive working issue escalate department head,Desktop Support
Security,brute force attack detect workstation team dispatch,Security Team
Security,email spoofing detect confirm system scan,Security Team
Hardware,laptop screen refresh rate issue detect workstation team dispatch,Desktop Support
Hardware,third - party vendor notify bio error,Desktop Support
Hardware,sla breach risk due fan noise issue escalate,Desktop Support
Access,ticket raise access deny iam policy team notify,Desktop Support
Security,multiple user affect suspicious admin activity priority raise,Security Team
Network,voip call drop issue escalate department head,Network Team
Software,help desk receive complaint plugin loading review,Application Support
Security,user submit ticket suspicious login location via self - service portal,Security Team
Network,remote user experience network asymmetric routing vpn session active,Network Team
Security,incident log : suspicious compliance violation await assignment,Security Team
Access,incident log : access deny soc policy await assignment,Desktop Support
Software,post - maintenance report : browser crash observe,Application Support
Software,software update loop impact business operation,Application Support
Access,multiple user affect license expire priority raise,Desktop Support
Access,help desk receive complaint mfa working review,Desktop Support
Software,ticket raise application crash test team notify,Application Support
Network,third - party vendor notify network segmentation error,Network Team
Access,multiple user affect access deny compliance policy priority raise,Desktop Support
Access,sla breach risk due account lockout escalate,Desktop Support
Software,application crash query detect workstation team dispatch,Application Support
Hardware,incident log : laptop screen color distortion await assignment,Desktop Support
Security,incident log : compromise credential await assignment,Security Team
Software,incident log : application crash login await assignment,Application Support
Security,department manager flag unauthorized access attempt critical,Security Team
Hardware,on - site technician assign laptop touch screen working,Desktop Support
Hardware,sla breach risk due laptop screen orange tint escalate,Desktop Support
Hardware,multiple user affect docking station failure priority raise,Desktop Support
Network,department manager flag cable unplug critical,Network Team
Security,sla breach risk due malware detect escalate,Security Team
Security,ticket raise suspicious dll injection team notify,Security Team
Access,incident log : access deny cis policy await assignment,Desktop Support
Network,user submit ticket network dns cache poisoning via self - service portal,Network Team
Network,recur network eigrp misconfigure report week,Network Team
Network,system flag switch overheat diagnostic initiate,Network Team
Software,user unable proceed due broken ui update,Application Support
Network,department manager flag firewall block access critical,Network Team
Hardware,usb port working impact business operation,Desktop Support
Security,help desk receive complaint suspicious c2 server detect review,Security Team
Hardware,on - site technician assign webcam malfunction,Desktop Support
Network,incident log : router reboot require await assignment,Network Team
Hardware,help desk receive complaint webcam recognize review,Desktop Support
Access,access deny regulatory policy confirm system scan,Desktop Support
Hardware,automate alert trigger hard drive failure,Desktop Support
Hardware,laptop screen burn - in impact business operation,Desktop Support
Security,remote user experience brute force login attempt vpn session active,Security Team
Hardware,third - party vendor notify keyboard respond,Desktop Support
Software,api timeout issue escalate department head,Application Support
Network,wi - fi authentication failure detect workstation team dispatch,Network Team
Security,system flag suspicious privilege misuse diagnostic initiate,Security Team
Security,suspicious insider activity impact business operation,Security Team
Hardware,user unable proceed due ssd detect,Desktop Support
Hardware,department manager flag peripheral device failure critical,Desktop Support
Hardware,on - site technician assign hard drive failure,Desktop Support
Access,automate alert trigger access deny gateway,Desktop Support
Security,system flag suspicious oauth token use diagnostic initiate,Security Team
Access,remote user experience role permission mismatch vpn session active,Desktop Support
Access,on - site technician assign access deny certificate policy,Desktop Support
Hardware,laptop screen purple tint detect workstation team dispatch,Desktop Support
Software,application crash vm deployment issue escalate department head,Application Support
Network,system flag network nat misconfigure diagnostic initiate,Network Team
Network,user submit ticket network unauthorized device detect via self - service portal,Network Team
Hardware,automate alert trigger laptop screen ghost image,Desktop Support
Software,application license expire issue escalate department head,Application Support
Software,sla breach risk due break ui update escalate,Application Support
Software,automate alert trigger application freeze startup,Application Support
Hardware,automate alert trigger external gpu detect,Desktop Support
Hardware,remote user experience webcam recognize vpn session active,Desktop Support
Security,unpatched vulnerability issue escalate department head,Security Team
Security,department manager flag brute force attack critical,Security Team
Network,incident log : network static route error await assignment,Network Team
Access,automate alert trigger access deny iam policy,Desktop Support
Software,on - site technician assign macro execution error,Application Support
Network,user unable proceed due slow network speed,Network Team
Software,on - site technician assign application crash update,Application Support
Software,on - site technician assign application crash module,Application Support
Access,certificate login failure issue escalate department head,Desktop Support
Security,user unable proceed due suspicious replay attack,Security Team
Hardware,motherboard failure impact business operation,Desktop Support
Network,incident log : proxy authentication error await assignment,Network Team
Access,post - maintenance report : email account disable observe,Desktop Support
Access,recur access deny contractor policy report week,Desktop Support
Access,post - maintenance report : access deny browser policy observe,Desktop Support
Access,remote user experience pin reset require vpn session active,Desktop Support
Network,switch port issue escalate department head,Network Team
Access,remote user experience guest account expire vpn session active,Desktop Support
Network,sla breach risk due gateway timeout escalate,Network Team
Network,sla breach risk due network default gateway miss escalate,Network Team
Access,remote user experience sso login failure vpn session active,Desktop Support
Software,incident log : registry error await assignment,Application Support
Network,user submit ticket ip conflict via self - service portal,Network Team
Hardware,post - maintenance report : peripheral compatibility issue observe,Desktop Support
Hardware,laptop screen brightness issue impact business operation,Desktop Support
Software,multiple user affect unrecognized file type priority raise,Application Support
Security,post - maintenance report : suspicious session hijack observe,Security Team
Hardware,multiple user affect battery charge priority raise,Desktop Support
Network,ticket raise dns resolution problem team notify,Network Team
Network,user submit ticket network compliance violation via self - service portal,Network Team
Network,user submit ticket network syslog server via self - service portal,Network Team
